name,website,frame_maker,open_year,close_year,logo_url 
24seven, http://www.leisurelakesbikes.com/bikes/bmx-bikes/b/24seven, true, , , 
3M, , , , , 
3rd Eye, , , , , 
3T, , , , , 
45North, , , , , 
4ZA, , , , , 
Aardvark, , , , , 
ABI, , , , , 
Abici, http://www.abici-italia.it/en/index.html, true, , , 
A-bike, http://www.a-bike.co.uk/, true, , , 
Abus, http://www.abus.com/eng/Mobile-Security/Bike-safety-and-security/Locks, false, , , 
ABUS, , , , , 
Accelerade, , , , , 
Accell, http://www.accell-group.com/uk/accell-group.asp, true, , , 
A-Class, , , , , 
Acros, , , , , 
ACS, , , , , 
Adolphe Clément, , true, , , 
Adventure Medical Kits, , , , , 
Aerofix Cycles, http://www.aerofixcycles.com/, true, , , 
AheadSet, , , , , 
Aist Bicycles, http://aist-bike.com/, true, , , 
Aladdin, , , , , 
ALAN, http://www.alanbike.it/, true, , , 
Alcyon, , true, , , 
Alex, , , , , 
Alexander Leutner & Co., , true, , , 
Alienation, , , , , 
Alien Bikes, http://alienbikes.com/, true, , , 
Alite Designs, , , , , 
All City, http://allcitycycles.com, true, , , 
Alldays & Onions, , true, , , 
American Bicycle Company, , true, , , 
American Classic, , , , , 
American Machine and Foundry, , true, , , 
American Star Bicycle, , true, , , 
AMF, , true, , , 
And, , , , , 
Andiamo, , , , , 
Answer BMX, , , , , 
Answer Products, , , , , 
Aquamira, , , , , 
Aqua Sphere, , , , , 
Arai, , , , , 
Argon 18, http://www.argon18bike.com/velo.html, true, , , 
Asda, http://direct.asda.com/Bikes/AD080202,default,sc.html, true, , , 
Assos, , , , , 
Atala, , true, , , 
Atomlab, , , , , 
Author, http://www.author.eu/, true, , , 
Avanti, http://www.avantibikes.com/nz/, true, , , 
Avid, , , , , 
Axiom, , , , , 
Axle Release, , , , , 
Aztec, , , , , 
Bacchetta, http://www.bacchettabikes.com/, true, , , 
Backpacker's Pantry, , , , , 
Backward Circle, http://www.backwardcircle.com/, true, , , 
Bahco, , , , , 
Bailey, http://www.bailey-bikes.com, true, , , 
Baladeo, , , , , 
Banjo Brothers, , , , , 
Bar Mitts, , , , , 
Basso, http://www.bassobikes.com/, true, , , 
Batavus, http://www.batavus.com/, true, , , 
BCA, , , , , 
Beater Bikes, http://beaterbikes.net/, true, , , 
Beistegui Hermanos, http://bhbikes-us.com, true, , , 
Bellwether, , , , , 
Bertucci, , , , , 
Bianchi, http://www.bianchi.com/, true, , , 
Bickerton, , true, , , 
Bicycle Research, , , , , 
Big Agnes Inc, , , , , 
Bike-Aid, , , , , 
Bike-Eye, , , , , 
Bike Fit Systems, , , , , 
Bike Friday, http://bikefriday.com/, true, , , 
Bike Mielec, http://www.bikemielec.com/, true, , , 
Bike-O-Vision, , , , , 
Bike Ribbon, , , , , 
Bikes Belong, , , , , 
Bikeverywhere, , , , , 
Bilenky Cycle Works, http://www.bilenky.com/Home.html, true, , , 
Biomega, http://biomega.dk/biomega.aspx, true, , , 
BionX, , , , , 
Birdy, http://www.birdybike.com/, true, , , 
Biria, http://www.biria.com/, true, , , 
Birmingham Small Arms Company, , true, , , 
Black Diamond, , , , , 
Black Market, http://www.blackmarketbikes.com, true, , , 
BMC, , true, , , 
Boardman Bikes, http://www.boardmanbikes.com/, true, , , 
BOB, , , , , 
BodyGlide, , , , , 
Boeshield, , , , , 
Bohemian Bicycles, http://www.bohemianbicycles.com/, true, , , 
Bondhus, , , , , 
Bonk Breaker, , , , , 
BONT, , , , , 
Boreas Gear, , , , , 
Borile, http://www.borile.it/gb_chi.html, true, , , 
Bottecchia, http://www.bottecchia.co.uk/, true, , , 
Boulder Bicycles, http://www.renehersebicycles.com/Randonneur%20bikes.htm, true, , , 
BOX, , , , , 
Bradbury Motor Cycles, http://www.bradburybros.co.uk/, true, , , 
Brannock Device Co, , , , , 
Brasil & Movimento, http://www.brasilemovimento.com.br, true, , , 
Brave Soldier, , , , , 
Breezer, , , , , 
