Flavor,Families
Gravel,ATB (All Terrain Bike)
Monster Cross,ATB (All Terrain Bike)
Cyclocross,ATB (All Terrain Bike)
Trail / All-Mountain,MTB (Mountain Bike)
Cross-Country (XC),MTB (Mountain Bike)
Enduro,MTB (Mountain Bike)
Downhill,MTB (Mountain Bike)
Freeride,MTB (Mountain Bike)
Triathalon,Road bike
Time Trial,Road bike
Criterium,Road bike
Climbing,Road bike
Aero,Road bike
All road,Road bike & ATB (All Terrain Bike)
Endurance / Sportive,Road bike
Randonneuring,Road bike & ATB (All Terrain Bike)
Pursuit,Track racing
Sprint,Track racing
Keirin / NJS,Track racing
Time Trial,Track racing
Bike touring,Road Bike & ATB (All Terrain Bike)
Bikepacking,MTB (Mountain Bike) & ATB (All Terrain Bike)
Child carrying,Cargo
Commercial,Cargo
Beach Cruiser,
Hybrid,
Commuter,
Race,BMX
Freestyle,BMX
Flatland,BMX
Cruiser,BMX
Slopestyle,Dirt Jumper
4X/Dual Slalom,Dirt Jumper
Street Trials,Trials
Pure Trials,Trials
Fixed Gear Freestyle,
Bike Polo,
Artistic cycling,
